[2018-04-26 07:53:58 924927] retcode: 1102, selector: 0
[2018-04-26 07:53:59 232325] retcode: 1102, selector: 0
[2018-04-26 07:53:59 528621] retcode: 1102, selector: 0
[2018-04-26 07:53:59 829408] retcode: 1102, selector: 0
[2018-04-26 07:54:00 124507] retcode: 1102, selector: 0
[2018-04-26 07:54:00 427708] retcode: 1102, selector: 0
[2018-04-26 07:54:00 734667] retcode: 1102, selector: 0
[2018-04-26 07:54:01 048677] retcode: 1102, selector: 0
[2018-04-26 07:54:01 401025] retcode: 1102, selector: 0
[2018-04-26 07:54:01 730967] retcode: 1102, selector: 0
[2018-04-26 07:54:02 057033] retcode: 1102, selector: 0
[2018-04-26 07:54:02 423548] retcode: 1102, selector: 0
[2018-04-26 07:54:02 755102] retcode: 1102, selector: 0
[2018-04-26 07:54:03 054433] retcode: 1102, selector: 0
[2018-04-26 07:54:03 358991] retcode: 1102, selector: 0
[2018-04-26 07:54:03 686300] retcode: 1102, selector: 0
[2018-04-26 07:54:04 027861] retcode: 1102, selector: 0
[2018-04-26 07:54:04 375110] retcode: 1102, selector: 0
[2018-04-26 07:54:04 748823] retcode: 1102, selector: 0
[2018-04-26 07:54:05 093934] retcode: 1102, selector: 0
[2018-04-26 07:54:05 425643] retcode: 1102, selector: 0
[2018-04-26 07:54:05 786178] retcode: 1102, selector: 0
[2018-04-26 07:54:06 141661] retcode: 1102, selector: 0
[2018-04-26 07:54:06 470980] retcode: 1102, selector: 0
[2018-04-26 07:54:06 790511] retcode: 1102, selector: 0
[2018-04-26 07:54:07 120564] retcode: 1102, selector: 0
[2018-04-26 07:54:07 465348] retcode: 1102, selector: 0
[2018-04-26 07:54:07 794488] retcode: 1102, selector: 0
[2018-04-26 07:54:08 103299] retcode: 1102, selector: 0
[2018-04-26 07:54:08 431160] retcode: 1102, selector: 0
[2018-04-26 07:54:08 773660] retcode: 1102, selector: 0
[2018-04-26 07:54:09 105086] retcode: 1102, selector: 0
[2018-04-26 07:54:09 403719] retcode: 1102, selector: 0
[2018-04-26 07:54:09 690038] retcode: 1102, selector: 0
[2018-04-26 07:54:09 984534] retcode: 1102, selector: 0
[2018-04-26 07:54:10 294872] retcode: 1102, selector: 0
[2018-04-26 07:54:10 620069] retcode: 1102, selector: 0
[2018-04-26 07:54:10 985512] retcode: 1102, selector: 0
[2018-04-26 07:54:11 329025] retcode: 1102, selector: 0
[2018-04-26 07:54:11 642302] retcode: 1102, selector: 0
[2018-04-26 07:54:11 963746] retcode: 1102, selector: 0
[2018-04-26 07:54:12 267699] retcode: 1102, selector: 0
[2018-04-26 07:54:12 567425] retcode: 1102, selector: 0
[2018-04-26 07:54:12 859567] retcode: 1102, selector: 0
[2018-04-26 07:54:13 174241] retcode: 1102, selector: 0
[2018-04-26 07:54:13 488884] retcode: 1102, selector: 0
[2018-04-26 07:54:13 780625] retcode: 1102, selector: 0
[2018-04-26 07:54:14 106067] retcode: 1102, selector: 0
[2018-04-26 07:54:14 439363] retcode: 1102, selector: 0
[2018-04-26 07:54:14 778494] retcode: 1102, selector: 0
[2018-04-26 07:54:15 124223] retcode: 1102, selector: 0
[2018-04-26 07:54:15 439178] retcode: 1102, selector: 0
[2018-04-26 07:54:15 768818] retcode: 1102, selector: 0
[2018-04-26 07:54:16 124388] retcode: 1102, selector: 0
[2018-04-26 07:54:16 448899] retcode: 1102, selector: 0
[2018-04-26 07:54:16 748829] retcode: 1102, selector: 0
[2018-04-26 07:54:17 048126] retcode: 1102, selector: 0
[2018-04-26 07:54:17 368321] retcode: 1102, selector: 0
[2018-04-26 07:54:17 723979] retcode: 1102, selector: 0
[2018-04-26 07:54:18 050916] retcode: 1102, selector: 0
[2018-04-26 07:54:18 341544] retcode: 1102, selector: 0
[2018-04-26 07:54:18 663324] retcode: 1102, selector: 0
[2018-04-26 07:54:18 997818] retcode: 1102, selector: 0
[2018-04-26 07:54:19 313699] retcode: 1102, selector: 0
[2018-04-26 07:54:19 645253] retcode: 1102, selector: 0
[2018-04-26 07:54:19 977113] retcode: 1102, selector: 0
[2018-04-26 07:54:20 326735] retcode: 1102, selector: 0
[2018-04-26 07:54:20 674238] retcode: 1102, selector: 0
[2018-04-26 07:54:20 988904] retcode: 1102, selector: 0
[2018-04-26 07:54:21 323312] retcode: 1102, selector: 0
[2018-04-26 07:54:21 652732] retcode: 1102, selector: 0
[2018-04-26 07:54:21 980945] retcode: 1102, selector: 0
[2018-04-26 07:54:22 305813] retcode: 1102, selector: 0
[2018-04-26 07:54:22 624462] retcode: 1102, selector: 0
[2018-04-26 07:54:22 952769] retcode: 1102, selector: 0
[2018-04-26 07:54:23 257468] retcode: 1102, selector: 0
[2018-04-26 07:54:23 548289] retcode: 1102, selector: 0
[2018-04-26 07:54:23 864384] retcode: 1102, selector: 0
[2018-04-26 07:54:24 216449] retcode: 1102, selector: 0
[2018-04-26 07:54:24 541795] retcode: 1102, selector: 0
[2018-04-26 07:54:24 847196] retcode: 1102, selector: 0
[2018-04-26 07:54:25 158294] retcode: 1102, selector: 0
[2018-04-26 07:54:25 489019] retcode: 1102, selector: 0
[2018-04-26 07:54:25 823638] retcode: 1102, selector: 0
[2018-04-26 07:54:26 166763] retcode: 1102, selector: 0
[2018-04-26 07:54:26 498104] retcode: 1102, selector: 0
[2018-04-26 07:54:26 790175] retcode: 1102, selector: 0
[2018-04-26 07:54:27 120756] retcode: 1102, selector: 0
[2018-04-26 07:54:27 456091] retcode: 1102, selector: 0
[2018-04-26 07:54:27 761990] retcode: 1102, selector: 0
[2018-04-26 07:54:28 061169] retcode: 1102, selector: 0
[2018-04-26 07:54:28 379976] retcode: 1102, selector: 0
[2018-04-26 07:54:28 691668] retcode: 1102, selector: 0
[2018-04-26 07:54:28 991863] retcode: 1102, selector: 0
[2018-04-26 07:54:29 293758] retcode: 1102, selector: 0
[2018-04-26 07:54:29 586658] retcode: 1102, selector: 0
[2018-04-26 07:54:29 882451] retcode: 1102, selector: 0
[2018-04-26 07:54:30 206487] retcode: 1102, selector: 0
[2018-04-26 07:54:30 531402] retcode: 1102, selector: 0
[2018-04-26 07:54:30 836820] retcode: 1102, selector: 0
[2018-04-26 07:54:31 157281] retcode: 1102, selector: 0
[2018-04-26 07:54:31 507498] retcode: 1102, selector: 0
[2018-04-26 07:54:31 855003] retcode: 1102, selector: 0
[2018-04-26 07:54:32 154108] retcode: 1102, selector: 0
[2018-04-26 07:54:32 440478] retcode: 1102, selector: 0
[2018-04-26 07:54:32 740272] retcode: 1102, selector: 0
[2018-04-26 07:54:33 038010] retcode: 1102, selector: 0
[2018-04-26 07:54:33 347221] retcode: 1102, selector: 0
[2018-04-26 07:54:33 684744] retcode: 1102, selector: 0
[2018-04-26 07:54:34 029668] retcode: 1102, selector: 0
[2018-04-26 07:54:34 349119] retcode: 1102, selector: 0
[2018-04-26 07:54:34 666274] retcode: 1102, selector: 0
[2018-04-26 07:54:34 978879] retcode: 1102, selector: 0
[2018-04-26 07:54:35 282521] retcode: 1102, selector: 0
[2018-04-26 07:54:35 610524] retcode: 1102, selector: 0
[2018-04-26 07:54:35 919049] retcode: 1102, selector: 0
[2018-04-26 07:54:36 204861] retcode: 1102, selector: 0
[2018-04-26 07:54:36 516321] retcode: 1102, selector: 0
[2018-04-26 07:54:36 863733] retcode: 1102, selector: 0
[2018-04-26 07:54:37 204216] retcode: 1102, selector: 0
[2018-04-26 07:54:37 510688] retcode: 1102, selector: 0
[2018-04-26 07:54:37 808010] retcode: 1102, selector: 0
[2018-04-26 07:54:38 117490] retcode: 1102, selector: 0
[2018-04-26 07:54:38 468731] retcode: 1102, selector: 0
[2018-04-26 07:54:38 825637] retcode: 1102, selector: 0
[2018-04-26 07:54:39 128595] retcode: 1102, selector: 0
